Number,Selected headline,Agent answer,True Answer,correct
134,The share subscription period will expire on 30 September 2007 .,neutral,neutral,True
140,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .',good,good,True
75,"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral,neutral,True
11,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,neutral,True
89,The operating margin came down to 2.4 % from 5.7 % .,bad,bad,True
30,"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,neutral,True
64,"The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year .",neutral,neutral,True
56,"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .'",good,good,True
96,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral,neutral,True
43,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral,neutral,True
18,"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral,neutral,True
40,"The total headcount reduction will be 50 persons , the company said .",bad,bad,True
150,This organization will assume the responsibility for operations in Russia .,neutral,neutral,True
54,"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",neutral,neutral,True
77,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",bad,bad,True
108,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",neutral,neutral,True
41,"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",neutral,neutral,True
81,"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .",neutral,neutral,True
70,He wore a black beanie-type cap and a black jacket .,neutral,neutral,True
119,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",neutral,neutral,True
2,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",good,neutral,False
149,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .'",good,good,True
105,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .'",good,good,True
120,"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral,neutral,True
12,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,neutral,True
146,"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .'",good,good,True
85,"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .'",good,good,True
84,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,good,neutral,False
44,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,neutral,True
129,"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,True
33,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+ï¿½o , as saying .",good,good,True
62,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,neutral,neutral,True
58,"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",neutral,neutral,True
116,EBIT margin was up from 1.4 % to 5.1 % .',good,good,True
24,"With this , the company will exit the contract manufacturing service segment .",neutral,neutral,True
