Number,Selected headline,Agent answer,True Answer,correct
95,"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",good,neutral,False
57,"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral,neutral,True
97,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .'",good,good,True
104,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .'",good,good,True
53,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,bad,bad,True
14,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",bad,bad,True
115,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",bad,bad,True
29,Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .,neutral,neutral,True
132,"Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V ) , which started on 19 August , until 16 November .",neutral,neutral,True
6,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,neutral,True
67,We are now in a position to pursue novel clinical candidates going forward . '.',good,good,True
117,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",bad,neutral,False
107,Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,neutral,neutral,True
136,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,bad,bad,True
13,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,bad,bad,True
90,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,neutral,neutral,True
55,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",bad,bad,True
69,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",neutral,bad,False
123,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .'",good,good,True
47,"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia .",neutral,neutral,True
51,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,bad,bad,True
102,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .'",good,good,True
145,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,neutral,True
46,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .'",neutral,good,False
87,`` I 'm not sure what 's happening .,neutral,neutral,True
74,"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .",neutral,neutral,True
8,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral,neutral,True
19,"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",neutral,neutral,True
52,"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",neutral,neutral,True
147,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .',good,good,True
