Number,Selected headline,Agent answer,True Answer,correct
71,The new technology improves the glass quality and consistency while increasing throughput .',good,good,True
80,"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral,neutral,True
135,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .',neutral,good,False
4,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase .",neutral,neutral,True
124,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .'",good,good,True
121,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,neutral,True
82,"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,neutral,True
106,"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .'",good,good,True
131,"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .'",good,good,True
34,The first group of customers to be trained will be paint-shop owners and their assistants .,neutral,neutral,True
125,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,neutral,True
5,The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral,neutral,True
25,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,neutral,True
112,"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said .'",neutral,good,False
130,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,neutral,neutral,True
26,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .'",good,good,True
3,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",good,neutral,False
21,Componenta will also offer a five-year subordinated loan for subscription by the public .,neutral,neutral,True
126,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",bad,bad,True
86,Net sales have been eaten by the weak US dollar .,bad,bad,True
38,"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",neutral,neutral,True
144,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",bad,bad,True
127,"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,neutral,True
92,"Upon establishment , the plan is directed to approximately 20 persons .",neutral,neutral,True
1,"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",neutral,neutral,True
88,"` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .'",neutral,good,False
79,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .'",good,good,True
28,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .',good,good,True
83,The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,neutral,neutral,True
91,"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",neutral,neutral,True
95,"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol .",good,neutral,False
57,"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today .",neutral,neutral,True
97,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .'",good,good,True
104,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .'",good,good,True
53,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,bad,bad,True
14,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",bad,bad,True
115,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",bad,bad,True
29,Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .,neutral,neutral,True
132,"Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V ) , which started on 19 August , until 16 November .",neutral,neutral,True
6,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,neutral,True
67,We are now in a position to pursue novel clinical candidates going forward . '.',good,good,True
117,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",bad,neutral,False
107,Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,neutral,neutral,True
136,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,bad,bad,True
13,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,bad,bad,True
90,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,neutral,neutral,True
55,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",bad,bad,True
69,"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",neutral,bad,False
123,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .'",good,good,True
47,"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia .",neutral,neutral,True
51,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,bad,bad,True
102,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .'",good,good,True
145,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,neutral,True
46,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .'",neutral,good,False
87,`` I 'm not sure what 's happening .,neutral,neutral,True
74,"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .",neutral,neutral,True
8,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral,neutral,True
19,"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",neutral,neutral,True
52,"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",neutral,neutral,True
147,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .',good,good,True
73,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .'",good,good,True
93,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .',neutral,good,False
39,The company closed last year with a turnover of about four million euros .,neutral,neutral,True
9,"The technology will become available to businesses from the fourth quarter , Nokia said .",neutral,neutral,True
101,Performance is based on values and sustainability .,neutral,neutral,True
99,The electricity requirement of networks will grow with the new mobile generation .,neutral,neutral,True
22,A total of $ 78 million will be invested in the project .,good,neutral,False
72,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",bad,bad,True
60,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .',good,good,True
66,"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",neutral,neutral,True
133,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral,neutral,True
109,Export declined by 6 percent to 16.4 million liters .,bad,bad,True
94,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral,neutral,True
27,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .',good,good,True
76,Net sales of Finnish food industry company L+ï¿½nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .',good,good,True
