Number,Selected headline,Agent answer,True Answer
1,"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",neutral,neutral
2,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",good,neutral
3,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",good,neutral
4,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase .",neutral,neutral
5,The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral,neutral
6,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,neutral
7,The combined value of the orders is EUR 45mn .,neutral,neutral
8,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral,neutral
9,"The technology will become available to businesses from the fourth quarter , Nokia said .",neutral,neutral
10,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,neutral
11,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,neutral
12,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,neutral
13,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,bad,bad
14,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",bad,bad
15,The new location is n't the only change Wellmont has in store for its air transport service .,good,neutral
16,"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,neutral
17,Asian traffic declined by 3.4 per cent .,bad,bad
18,"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral,neutral
19,"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",neutral,neutral
20,The transaction is expected to be finalized by Dec 2009 .,neutral,neutral
21,Componenta will also offer a five-year subordinated loan for subscription by the public .,neutral,neutral
22,A total of $ 78 million will be invested in the project .,good,neutral
23,"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",neutral,neutral
24,"With this , the company will exit the contract manufacturing service segment .",neutral,neutral
25,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,neutral
26,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .'",good,good
27,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .',good,good
28,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .',good,good
29,Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .,neutral,neutral
30,"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,neutral
31,"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",neutral,neutral
32,"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral,neutral
33,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+ï¿½o , as saying .",good,good
34,The first group of customers to be trained will be paint-shop owners and their assistants .,neutral,neutral
35,The expansion aims to attract new customers both in Finland and abroad .',good,good
36,"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",bad,bad
37,"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . '.'",good,good
38,"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",neutral,neutral
39,The company closed last year with a turnover of about four million euros .,neutral,neutral
40,"The total headcount reduction will be 50 persons , the company said .",bad,bad
41,"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",neutral,neutral
42,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .',good,good
43,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral,neutral
44,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,neutral
45,Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,bad,bad
46,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .'",neutral,good
47,"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia .",neutral,neutral
48,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",neutral,neutral
49,"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",neutral,neutral
50,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral,neutral
51,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,bad,bad
52,"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",neutral,neutral
53,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,bad,bad
54,"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",neutral,neutral
